tau,w0,g,Phi
0.6,0.99,0.0,0.9940179640539353
0.6,0.99,0.19,0.8051545508836876
0.6,0.99,0.38,0.6162911377134399
0.6,0.99,0.57,0.4274277245431921
0.6,0.99,0.76,0.23856431137294445
0.6,0.99,0.95,0.04970089820269681
0.8,0.0,0.0,0.44932896411722156
0.8,0.0,0.19,0.3639564609349495
0.8,0.0,0.38,0.27858395775267736
0.8,0.0,0.57,0.19321145457040526
0.8,0.0,0.76,0.10783895138813317
0.8,0.0,0.95,0.0224664482058611
0.8,0.198,0.0,0.5264494307390614
0.8,0.198,0.19,0.4264240388986397
0.8,0.198,0.38,0.326398647058218
0.8,0.198,0.57,0.22637325521779636
0.8,0.198,0.76,0.12634786337737472
0.8,0.198,0.95,0.026322471536953093
0.8,0.396,0.0,0.6168064497466467
0.8,0.396,0.19,0.49961322429478383
0.8,0.396,0.38,0.38241999884292094
0.8,0.396,0.57,0.26522677339105805
0.8,0.396,0.76,0.14803354793919518
0.8,0.396,0.95,0.030840322487332362
0.8,0.594,0.0,0.7226718735643111
0.8,0.594,0.19,0.585364217587092
0.8,0.594,0.38,0.44805656160987284
0.8,0.594,0.57,0.3107489056326537
0.8,0.594,0.76,0.17344124965543464
0.8,0.594,0.95,0.036133593678215586
0.8,0.792,0.0,0.8467074834503884
0.8,0.792,0.19,0.6858330615948146
0.8,0.792,0.38,0.5249586397392408
0.8,0.792,0.57,0.36408421788366696
0.8,0.792,0.76,0.2032097960280932
0.8,0.792,0.95,0.04233537417251946
0.8,0.99,0.0,0.9920319148370607
0.8,0.99,0.19,0.8035458510180192
0.8,0.99,0.38,0.6150597871989776
0.8,0.99,0.57,0.42657372337993604
0.8,0.99,0.76,0.23808765956089456
0.8,0.99,0.95,0.04960159574185308
1.0,0.0,0.0,0.36787944117144233
1.0,0.0,0.19,0.2979823473488683
1.0,0.0,0.38,0.22808525352629425
1.0,0.0,0.57,0.1581881597037202
1.0,0.0,0.76,0.08829106588114616
1.0,0.0,0.95,0.018393972058572135
1.0,0.198,0.0,0.4484312042481095
1.0,0.198,0.19,0.3632292754409687
1.0,0.198,0.38,0.2780273466338279
1.0,0.198,0.57,0.19282541782668705
1.0,0.198,0.76,0.10762348901954628
1.0,0.198,0.95,0.022421560212405496
1.0,0.396,0.0,0.5466207741945976
1.0,0.396,0.19,0.4427628270976241
1.0,0.396,0.38,0.33890488000065055
1.0,0.396,0.57,0.23504693290367695
1.0,0.396,0.76,0.13118898580670343
1.0,0.396,0.95,0.027331038709729905
1.0,0.594,0.0,0.6663101674248864
1.0,0.594,0.19,0.539711235614158
1.0,0.594,0.38,0.41311230380342956
1.0,0.594,0.57,0.2865133719927011
1.0,0.594,0.76,0.15991444018197273
1.0,0.594,0.95,0.03331550837124435
1.0,0.792,0.0,0.8122070367119391
1.0,0.792,0.19,0.6578876997366707
1.0,0.792,0.38,0.5035683627614023
1.0,0.792,0.57,0.34924902578613376
1.0,0.792,0.76,0.19492968881086536
1.0,0.792,0.95,0.04061035183559699
1.0,0.99,0.0,0.990049833749168
1.0,0.99,0.19,0.8019403653368261
1.0,0.99,0.38,0.6138308969244841
1.0,0.99,0.57,0.4257214285121422
1.0,0.99,0.76,0.23761196009980032
1.0,0.99,0.95,0.04950249168745845
2.0,0.0,0.0,0.1353352832366127
2.0,0.0,0.19,0.10962157942165629
