T_M,s,Q_pr
300.0,1e-07,0.0002818424433565224
300.0,2.511886431509583e-07,0.004395613366183415
300.0,6.30957344480193e-07,0.057956696413782226
300.0,1.584893192461114e-06,0.3691743404102484
300.0,3.981071705534969e-06,0.8488177856821427
300.0,1e-05,1.0701614542707123
300.0,2.5118864315095825e-05,1.11561063993381
300.0,6.309573444801943e-05,1.1211808605117728
300.0,0.0001584893192461,1.1216137069043548
300.0,0.0003981071705534,1.1216416186799119
300.0,0.001,1.1216433823423637
300.0,0.0025118864315095,1.1216434936321296
300.0,0.0063095734448019,1.1216435006540795
300.0,0.0158489319246111,1.121643501097135
300.0,0.0398107170553497,1.1216435011250898
300.0,0.1,1.1216435011268535
500.0,1e-07,0.0012989267366886358
500.0,2.511886431509583e-07,0.019255152794480864
500.0,6.30957344480193e-07,0.18422090069285443
500.0,1.584893192461114e-06,0.651632898732514
500.0,3.981071705534969e-06,1.005447699914809
500.0,1e-05,1.1045779596678686
500.0,2.5118864315095825e-05,1.1198819021519746
500.0,6.309573444801943e-05,1.1215131124366462
500.0,0.0001584893192461,1.1216351338434611
500.0,0.0003981071705534,1.1216429725927575
500.0,0.001,1.121643467776342
500.0,0.0025118864315095,1.1216434990226802
500.0,0.0063095734448019,1.1216435009942003
500.0,0.0158489319246111,1.121643501118595
500.0,0.0398107170553497,1.1216435011264436
500.0,0.1,1.121643501126939
700.0,1e-07,0.003532935360493345
700.0,2.511886431509583e-07,0.04794235932318117
700.0,6.30957344480193e-07,0.3310126647814821
700.0,1.584893192461114e-06,0.8172453054072578
700.0,3.981071705534969e-06,1.0610562662397345
700.0,1e-05,1.113812290721692
700.0,2.5118864315095825e-05,1.1208853550818418
700.0,6.309573444801943e-05,1.1215884005002716
700.0,0.0001584893192461,1.1216399717440848
700.0,0.0003981071705534,1.121643278214542
700.0,0.001,1.1216434870612555
700.0,0.0025118864315095,1.121643500239482
700.0,0.0063095734448019,1.1216435010709753
700.0,0.0158489319246111,1.1216435011234394
700.0,0.0398107170553497,1.1216435011267494
700.0,0.1,1.1216435011269583
900.0,1e-07,0.007398380161131078
900.0,2.511886431509583e-07,0.0894684801722865
900.0,6.30957344480193e-07,0.4656487601996099
900.0,1.584893192461114e-06,0.9142884864343117
900.0,3.981071705534969e-06,1.0857526594511178
900.0,1e-05,1.1173579188484095
900.0,2.5118864315095825e-05,1.1212449029998277
900.0,6.309573444801943e-05,1.121614865037076
900.0,0.0001584893192461,1.1216416690468443
900.0,0.0003981071705534,1.1216433854235794
900.0,0.001,1.121643493826154
900.0,0.0025118864315095,1.12164350066632
900.0,0.0063095734448019,1.121643501097907
900.0,0.0158489319246111,1.1216435011251382
900.0,0.0398107170553497,1.1216435011268564
900.0,0.1,1.1216435011269648
1000.0,1e-07,0.010048360334847642
1000.0,2.511886431509583e-07,0.11401741733354213
1000.0,6.30957344480193e-07,0.5249056548754691
1000.0,1.584893192461114e-06,0.9475310645860532
1000.0,3.981071705534969e-06,1.0930615085957391
1000.0,1e-05,1.1183303525761654
1000.0,2.5118864315095825e-05,1.1213399639182935
1000.0,6.309573444801943e-05,1.1216217901486059
1000.0,0.0001584893192461,1.1216421127258975
1000.0,0.0003981071705534,1.1216434134463473
1000.0,0.001,1.1216434955943855
1000.0,0.0025118864315095,1.1216435007778882
1000.0,0.0063095734448019,1.1216435011049466
1000.0,0.0158489319246111,1.1216435011255828
1000.0,0.0398107170553497,1.121643501126885
1000.0,0.1,1.121643501126967
1300.0,1e-07,0.021203217764677786
1300.0,2.511886431509583e-07,0.19693868606972695
1300.0,6.30957344480193e-07,0.6700142416443119
1300.0,1.584893192461114e-06,1.0125055854095608
1300.0,3.981071705534969e-06,1.1057277751437475
1300.0,1e-05,1.1199160896041485
1300.0,2.5118864315095825e-05,1.1214905006851086
1300.0,6.309573444801943e-05,1.1216326658348694
1300.0,0.0001584893192461,1.1216428089240604
1300.0,0.0003981071705534,1.1216434574157685
1300.0,0.001,1.1216434983688373
1300.0,0.0025118864315095,1.1216435009529453
1300.0,0.0063095734448019,1.121643501115992
1300.0,0.0158489319246111,1.1216435011262793
1300.0,0.0398107170553497,1.1216435011269286
1300.0,0.1,1.1216435011269696
1600.0,1e-07,0.037385328733895044
1600.0,2.511886431509583e-07,0.28508426306094564
1600.0,6.30957344480193e-07,0.7744502464251183
1600.0,1.584893192461114e-06,1.048397492334018
1600.0,3.981071705534969e-06,1.1117936456364026
1600.0,1e-05,1.1206214229145246
1600.0,2.5118864315095825e-05,1.12155506520673
1600.0,6.309573444801943e-05,1.1216372816952642
1600.0,0.0001584893192461,1.1216431040890542
1600.0,0.0003981071705534,1.1216434760560294
1600.0,0.001,1.1216434995450246
1600.0,0.0025118864315095,1.1216435010271577
1600.0,0.0063095734448019,1.1216435011206742
1600.0,0.0158489319246111,1.121643501126575
1600.0,0.0398107170553497,1.1216435011269472
