temperature_K,axis,wavelength_um,n,k
100,a,0.231,1.8044775,3.0608884e-07
100,a,0.232,1.8025355,2.8545435e-07
100,a,0.233,1.8005936,2.7220501e-07
100,a,0.234,1.7986517,2.6257873e-07
100,a,0.235,1.7967097,2.2865731e-07
100,a,0.236,1.7947678,2.0020163e-07
100,a,0.237,1.7928258,1.8490476e-07
100,a,0.238,1.7908839,1.8064278e-07
100,a,0.239,1.7889419,1.6687881e-07
100,a,0.24,1.787,1.4895221e-07
100,a,0.241,1.7857333,1.4298935e-07
100,a,0.242,1.7844667,1.3690927e-07
100,a,0.243,1.7832,1.1816196e-07
100,a,0.244,1.7819333,9.8240334e-08
100,a,0.245,1.7806667,9.3315463e-08
100,a,0.246,1.7794,8.6298924e-08
100,a,0.247,1.7781333,7.9973321e-08
100,a,0.248,1.7768667,6.6150945e-08
100,a,0.249,1.7756,5.5324243e-08
100,a,0.25,1.7743333,5.3625624e-08
100,a,0.26,1.7619,0.0
100,a,0.27,1.7511074,0.0
100,a,0.28,1.7420589,0.0
100,a,0.29,1.7337196,0.0
100,a,0.3,1.7265,0.0
100,a,0.31,1.7205,0.0
100,a,0.32,1.7151242,0.0
100,a,0.33,1.7103727,0.0
100,a,0.34,1.7064018,0.0
100,a,0.35,1.7034345,0.0
100,a,0.36,1.7004673,0.0
100,a,0.37,1.6975,0.0
100,a,0.38,1.6951667,0.0
100,a,0.39,1.6928333,0.0
100,a,0.4,1.6905,0.0
100,a,0.41,1.6887689,0.0
100,a,0.42,1.6870379,0.0
100,a,0.43,1.6853068,0.0
100,a,0.44,1.683928,0.0
100,a,0.45,1.6828567,0.0
100,a,0.46,1.6817853,0.0
100,a,0.47,1.680714,0.0
100,a,0.48,1.6796427,0.0
100,a,0.49,1.6785713,0.0
100,a,0.5,1.6775,0.0
100,a,0.51,1.6767,0.0
100,a,0.52,1.6759,0.0
100,a,0.53,1.6751,0.0
100,a,0.54,1.6743,0.0
100,a,0.55,1.6735,0.0
100,a,0.56,1.6728995,0.0
100,a,0.57,1.672299,0.0
100,a,0.58,1.6716984,0.0
100,a,0.59,1.6710979,0.0
100,a,0.6,1.6704974,0.0
100,a,0.61,1.6698969,0.0
100,a,0.62,1.6693943,0.0
100,a,0.63,1.6690825,0.0
100,a,0.64,1.6687707,0.0
100,a,0.65,1.6684589,0.0
100,a,0.66,1.6681471,0.0
100,a,0.67,1.6678353,0.0
100,a,0.68,1.6675236,0.0
100,a,0.69,1.6672118,0.0
100,a,0.7,1.6669,0.0
100,a,0.71,1.66671,0.0
100,a,0.72,1.66652,0.0
100,a,0.73,1.66633,0.0
100,a,0.74,1.66614,0.0
100,a,0.75,1.66595,0.0
100,a,0.76,1.66576,0.0
100,a,0.77,1.66557,0.0
100,a,0.78,1.66538,0.0
100,a,0.79,1.66519,0.0
100,a,0.8,1.665,0.0
100,a,0.81,1.66483,0.0
100,a,0.82,1.66466,0.0
100,a,0.83,1.66449,0.0
100,a,0.84,1.66432,0.0
100,a,0.85,1.66415,0.0
100,a,0.86,1.66398,0.0
100,a,0.87,1.66381,0.0
100,a,0.88,1.66364,0.0
100,a,0.89,1.66347,0.0
100,a,0.9,1.6633,0.0
100,a,0.91,1.66315,0.0
100,a,0.92,1.663,0.0
100,a,0.93,1.66285,0.0
100,a,0.94,1.6627,0.0
100,a,0.95,1.66255,0.0
100,a,0.96,1.6624,0.0
100,a,0.97,1.66225,0.0
100,a,0.98,1.6621,0.0
100,a,0.99,1.66195,0.0
100,a,1.0,1.6618,0.0
100,a,1.01,1.66167,0.0
100,a,1.02,1.66154,0.0
100,a,1.03,1.66141,0.0
100,a,1.04,1.66128,0.0
100,a,1.05,1.66115,0.0
100,a,1.06,1.66102,0.0
100,a,1.07,1.66089,0.0
100,a,1.08,1.66076,0.0
100,a,1.09,1.66063,0.0
100,a,1.1,1.6605,0.0
100,a,1.11,1.6604249,0.0
100,a,1.12,1.6603499,0.0
100,a,1.13,1.6602748,0.0
100,a,1.14,1.6601997,0.0
100,a,1.15,1.6601247,0.0
100,a,1.16,1.6600496,0.0
100,a,1.17,1.6599745,0.0
100,a,1.18,1.6598995,0.0
100,a,1.19,1.6598244,0.0
100,a,1.2,1.6597493,0.0
100,a,1.21,1.6596743,0.0
100,a,1.22,1.6595992,0.0
100,a,1.23,1.6595242,0.0
100,a,1.24,1.6594491,0.0
100,a,1.25,1.659374,0.0
100,a,1.26,1.6592,0.0
100,a,1.27,1.6591,0.0
100,a,1.28,1.659,0.0
100,a,1.29,1.6589,0.0
100,a,1.3,1.6588,0.0
100,a,1.31,1.6588,0.0
100,a,1.32,1.6587,0.0
100,a,1.33,1.6586,0.0
100,a,1.34,1.6585,0.0
100,a,1.35,1.6584,0.0
100,a,1.36,1.6583,0.0
100,a,1.37,1.6582,0.0
100,a,1.38,1.6581,0.0
100,a,1.39,1.6581,0.0
100,a,1.4,1.658,0.0
100,a,1.41,1.6579,0.0
100,a,1.42,1.6578,0.0
100,a,1.43,1.6577,0.0
100,a,1.44,1.6576,0.0
100,a,1.45,1.6575,0.0
100,a,1.46,1.6574,0.0
100,a,1.47,1.6573,0.0
100,a,1.48,1.6572,0.0
100,a,1.49,1.6571,0.0
100,a,1.5,1.657,0.0
100,a,1.51,1.6569,0.0
100,a,1.52,1.6568,0.0
100,a,1.53,1.6567,0.0
100,a,1.54,1.6566,0.0
100,a,1.55,1.6565,0.0
100,a,1.56,1.6564,0.0
100,a,1.57,1.6563,0.0
100,a,1.58,1.6562,0.0
100,a,1.59,1.6561,0.0
100,a,1.6,1.656,0.0
100,a,1.61,1.6559,0.0
100,a,1.62,1.6558,0.0
100,a,1.63,1.6557,0.0
100,a,1.64,1.6555,0.0
100,a,1.65,1.6554,0.0
100,a,1.66,1.6553,0.0
100,a,1.67,1.6552,0.0
100,a,1.68,1.6551,0.0
100,a,1.69,1.655,0.0
100,a,1.7,1.6549,0.0
100,a,1.71,1.6548,0.0
100,a,1.72,1.6547,0.0
100,a,1.73,1.6545,0.0
100,a,1.74,1.6544,0.0
100,a,1.75,1.6543,0.0
100,a,1.76,1.6542,0.0
100,a,1.77,1.6541,0.0
100,a,1.78,1.654,0.0
100,a,1.79,1.6538,0.0
100,a,1.8,1.6537,0.0
100,a,1.81,1.6536,0.0
100,a,1.82,1.6535,0.0
100,a,1.83,1.6533,0.0
100,a,1.84,1.6532,0.0
100,a,1.85,1.6531,0.0
100,a,1.86,1.653,0.0
100,a,1.87,1.6529,0.0
100,a,1.88,1.6527,0.0
