time,mass_initial,mass_remaining,mass_lost,error_percent
9861.75,1e-06,9.999998492979713e-07,1.5070202869789822e-13,4.730974291275729e-15
19723.5,1e-06,9.999996837679948e-07,3.162320052504097e-13,8.580282293907901e-15
29585.25,1e-06,9.999995167840608e-07,4.832159390452316e-13,9.834412098850817e-15
39447.0,1e-06,9.999993496576072e-07,6.503423928215047e-13,5.28375752655668e-15
49308.75,1e-06,9.999991825171837e-07,8.174828162476222e-13,4.877720090131114e-15
59170.5,1e-06,9.99999015375391e-07,9.846246089588205e-13,9.407038814838282e-15
69032.25,1e-06,9.99998848233464e-07,1.1517665358853399e-12,3.2993520448355334e-15
78894.0,1e-06,9.99998681091524e-07,1.3189084759674483e-12,2.512237993203043e-15
88755.75,1e-06,9.999985139495826e-07,1.4860504173390481e-12,6.429632896109203e-15
98617.5,1e-06,9.999983468076411e-07,1.6531923588370422e-12,2.292396973958603e-15
108479.25,1e-06,9.999981796656995e-07,1.820334300347425e-12,8.922524233383882e-15
118341.0,1e-06,9.999980125237581e-07,1.9874762418590223e-12,1.1598300034215206e-15
128202.75,1e-06,9.999978453818165e-07,2.1546181833707387e-12,9.921724486018127e-15
138064.5,1e-06,9.99997678239875e-07,2.3217601248824665e-12,1.7367561689345796e-16
147926.25,1e-06,9.999975110979337e-07,2.488902066394196e-12,1.0269237278518433e-14
157788.0,1e-06,9.99997343955992e-07,2.6560440079059253e-12,8.110247412141014e-16
167649.75,1e-06,9.999971768140506e-07,2.8231859494176546e-12,9.284536920410873e-15
177511.5,1e-06,9.99997009672109e-07,2.990327890929384e-12,1.7957250993216607e-15
187373.25,1e-06,9.999968425301676e-07,3.1574698324411134e-12,8.299836562303314e-15
197235.0,1e-06,9.99996675388226e-07,3.3246117739528428e-12,2.78042545742922e-15
207096.75,1e-06,9.999965082462846e-07,3.491753715464572e-12,7.315136204195755e-15
216958.5,1e-06,9.99996341104343e-07,3.6588956569763015e-12,3.765125815536779e-15
226820.25,1e-06,9.999961739624015e-07,3.826037598488031e-12,6.330435846088195e-15
236682.0,1e-06,9.9999600682046e-07,3.99317953999976e-12,4.7498261736443386e-15
246543.75,1e-06,9.999958396785185e-07,4.16032148151149e-12,5.345735487980636e-15
256405.5,1e-06,9.999956725365769e-07,4.327463423023218e-12,5.7346073111085925e-15
266267.25,1e-06,9.999955053946355e-07,4.494605364534947e-12,4.3608735711596874e-15
276129.0,1e-06,9.999953382526938e-07,4.661747306046676e-12,6.7193884485728465e-15
285990.75,1e-06,9.999951711107524e-07,4.828889247558405e-12,3.3760924336954335e-15
295852.5,1e-06,9.999950039688108e-07,4.996031189070134e-12,7.7041695860371e-15
305714.25,1e-06,9.999948368268694e-07,5.163173130581863e-12,2.3913112962311795e-15
315576.0,1e-06,9.999946696849278e-07,5.330315072093592e-12,8.688950723501354e-15
