time,mass_initial,mass_remaining,mass_lost,error_percent
9861.75,1e-06,9.999999877182052e-07,1.2281794879468648e-14,1.033979000020996e-14
19723.5,1e-06,9.999999752491778e-07,2.475082208631835e-14,7.54072107746329e-15
29585.25,1e-06,9.999999627772982e-07,3.722270174967013e-14,3.0598115910659144e-15
39447.0,1e-06,9.99999950305375e-07,4.969462486934186e-14,2.927339125885236e-15
49308.75,1e-06,9.999999378334512e-07,6.21665486510575e-14,6.2375698781481294e-15
59170.5,1e-06,9.999999253615274e-07,7.463847244285917e-14,8.539197155786543e-15
69032.25,1e-06,9.999999128896038e-07,8.711039623481451e-14,1.035036499618881e-14
78894.0,1e-06,9.9999990041768e-07,9.958232002677219e-14,8.064338231812047e-15
88755.75,1e-06,9.999998879457562e-07,1.120542438187299e-13,5.77831525396763e-15
98617.5,1e-06,9.999998754738324e-07,1.2452616761068764e-13,3.492293538300661e-15
108479.25,1e-06,9.999998630019086e-07,1.3699809140264533e-13,1.206268036101347e-15
118341.0,1e-06,9.999998505299847e-07,1.4947001519460307e-13,1.0797524173881736e-15
128202.75,1e-06,9.99999838058061e-07,1.619419389865608e-13,3.365775395232591e-15
138064.5,1e-06,9.999998255861371e-07,1.744138627785185e-13,5.651798373077008e-15
147926.25,1e-06,9.999998131142133e-07,1.8688578657047622e-13,7.937821350921426e-15
157788.0,1e-06,9.999998006422895e-07,1.9935771036243394e-13,1.0223844328765843e-14
167649.75,1e-06,9.999997881703659e-07,2.1182963415439166e-13,8.665956374747248e-15
177511.5,1e-06,9.99999775698442e-07,2.2430155794634938e-13,6.379933396902831e-15
187373.25,1e-06,9.999997632265183e-07,2.367734817383071e-13,4.09391294341331e-15
197235.0,1e-06,9.999997507545944e-07,2.492454055302648e-13,1.807887441213996e-15
207096.75,1e-06,9.999997382826706e-07,2.6171732932222256e-13,4.781330122755245e-16
216958.5,1e-06,9.999997258107468e-07,2.7418925311418025e-13,2.7641585144748385e-15
226820.25,1e-06,9.99999713338823e-07,2.8666117690613794e-13,5.0501840166741526e-15
236682.0,1e-06,9.999997008668992e-07,2.9913310069809564e-13,7.336209518873467e-15
246543.75,1e-06,9.999996883949754e-07,3.1160502449005333e-13,9.62223502107278e-15
256405.5,1e-06,9.999996759230518e-07,3.24076948282011e-13,9.267563158085414e-15
266267.25,1e-06,9.99999663451128e-07,3.365488720739687e-13,6.9815376558861e-15
276129.0,1e-06,9.999996509792041e-07,3.490207958659264e-13,4.695512153686786e-15
285990.75,1e-06,9.999996385072803e-07,3.614927196578841e-13,2.4094866514874716e-15
295852.5,1e-06,9.999996260353565e-07,3.739646434498418e-13,1.2346114928815759e-16
305714.25,1e-06,9.999996135634327e-07,3.864365672417995e-13,2.1625643529111565e-15
315576.0,1e-06,9.999996010915089e-07,3.989084910337572e-13,4.4485898551104705e-15
