0.243 1.766 1.1816196e-07
0.244 1.7646667 9.8240334e-08
0.245 1.7633333 9.3315463e-08
0.246 1.762 8.6298924e-08
0.247 1.7606667 7.9973321e-08
0.248 1.7593333 6.6150945e-08
0.249 1.758 5.5324243e-08
0.25 1.7566667 5.3625624e-08
0.26 1.7442 0
0.27 1.7334074 0
0.28 1.7243589 0
0.29 1.7160196 0
0.3 1.7088 0
0.31 1.7027 0
0.32 1.6973242 0
0.33 1.6925727 0
0.34 1.6886018 0
0.35 1.6856345 0
0.36 1.6826673 0
0.37 1.6797 0
0.38 1.6773667 0
0.39 1.6750333 0
0.4 1.6727 0
0.41 1.6709689 0
0.42 1.6692379 0
0.43 1.6675068 0
0.44 1.666128 0
0.45 1.6650567 0
0.46 1.6639853 0
0.47 1.662914 0
0.48 1.6618427 0
0.49 1.6607713 0
0.5 1.6597 0
0.51 1.6589 0
0.52 1.6581 0
0.53 1.6573 0
0.54 1.6565 0
0.55 1.6557 0
0.56 1.6550995 0
0.57 1.654499 0
0.58 1.6538984 0
0.59 1.6532979 0
0.6 1.6526974 0
0.61 1.6520969 0
0.62 1.6515943 0
0.63 1.6512825 0
0.64 1.6509707 0
0.65 1.6506589 0
0.66 1.6503471 0
0.67 1.6500353 0
0.68 1.6497236 0
0.69 1.6494118 0
0.7 1.6491 0
0.71 1.64891 0
0.72 1.64872 0
0.73 1.64853 0
0.74 1.64834 0
0.75 1.64815 0
0.76 1.64796 0
0.77 1.64777 0
0.78 1.64758 0
0.79 1.64739 0
0.8 1.6472 0
0.81 1.64703 0
0.82 1.64686 0
0.83 1.64669 0
0.84 1.64652 0
0.85 1.64635 0
0.86 1.64618 0
0.87 1.64601 0
0.88 1.64584 0
0.89 1.64567 0
0.9 1.6455 0
0.91 1.64535 0
0.92 1.6452 0
0.93 1.64505 0
0.94 1.6449 0
0.95 1.64475 0
0.96 1.6446 0
0.97 1.64445 0
0.98 1.6443 0
0.99 1.64415 0
1 1.644 0
1.01 1.64387 0
1.02 1.64374 0
1.03 1.64361 0
1.04 1.64348 0
1.05 1.64335 0
1.06 1.64322 0
1.07 1.64309 0
1.08 1.64296 0
1.09 1.64283 0
1.1 1.6427 0
1.11 1.6426249 0
1.12 1.6425499 0
1.13 1.6424748 0
1.14 1.6423997 0
1.15 1.6423247 0
1.16 1.6422496 0
1.17 1.6421745 0
1.18 1.6420995 0
1.19 1.6420244 0
1.2 1.6419493 0
1.21 1.6418743 0
1.22 1.6417992 0
1.23 1.6417242 0
1.24 1.6416491 0
1.25 1.641574 0
1.26 1.6415 0
1.27 1.6414 0
1.28 1.6413 0
1.29 1.6412 0
1.3 1.6411 0
1.31 1.6411 0
1.32 1.641 0
1.33 1.6409 0
1.34 1.6408 0
1.35 1.6407 0
1.36 1.6407 0
1.37 1.6406 0
1.38 1.6405 0
1.39 1.6404 0
1.4 1.6403 0
1.41 1.6402 0
