time,mass_initial,mass_remaining,mass_lost,error_percent
9861.75,1e-06,9.999998492979713e-07,1.5070202869789822e-13,4.730974291275729e-15
19723.5,1e-06,9.99999683584305e-07,3.1641569513816236e-13,7.927332656325607e-15
29585.25,1e-06,9.999995163786221e-07,4.836213778215767e-13,5.050628303135973e-16
39447.0,1e-06,9.999993490246798e-07,6.50975320222437e-13,8.338418802544587e-15
49308.75,1e-06,9.999991816560053e-07,8.18343994675826e-13,1.804681510495178e-15
59170.5,1e-06,9.99999014285867e-07,9.857141329988513e-13,7.722546889685129e-15
69032.25,1e-06,9.999988469155831e-07,1.153084416781163e-12,5.7882649987930016e-15
78894.0,1e-06,9.99998679545285e-07,1.3204547150172233e-12,7.295587599875654e-15
88755.75,1e-06,9.999985121749852e-07,1.4878250146894987e-12,5.405633380969705e-15
98617.5,1e-06,9.999983448046854e-07,1.6551953145044854e-12,3.835726973287887e-15
108479.25,1e-06,9.999981774343856e-07,1.822565614333653e-12,8.477389588318114e-16
118341.0,1e-06,9.999980100640858e-07,1.9899359141642296e-12,2.2811686433780493e-15
128202.75,1e-06,9.99997842693786e-07,2.1573062139949465e-12,5.424091463974429e-15
138064.5,1e-06,9.999976753234862e-07,2.3246765138256766e-12,8.56834714395627e-15
147926.25,1e-06,9.999975079531862e-07,2.4920468136564084e-12,9.463059298706009e-15
157788.0,1e-06,9.999973405828864e-07,2.6594171134871406e-12,6.318601670332432e-15
167649.75,1e-06,9.999971732125866e-07,2.826787413317873e-12,3.1741440419588544e-15
177511.5,1e-06,9.999970058422868e-07,2.994157713148605e-12,2.9686413585277116e-17
187373.25,1e-06,9.99996838471987e-07,3.1615280129793373e-12,3.1147712147883002e-15
197235.0,1e-06,9.999966711016872e-07,3.3288983128100695e-12,6.2592288431618775e-15
207096.75,1e-06,9.999965037313874e-07,3.4962686126408017e-12,9.403686471535455e-15
216958.5,1e-06,9.999963363610874e-07,3.663638912471534e-12,8.627639191770129e-15
226820.25,1e-06,9.999961689907876e-07,3.831009212302266e-12,5.483221953074899e-15
236682.0,1e-06,9.999960016204878e-07,3.998379512132999e-12,2.3387239350229743e-15
246543.75,1e-06,9.99995834250188e-07,4.1657498119637305e-12,8.056933036722557e-16
256405.5,1e-06,9.999956668798882e-07,4.333120111794463e-12,3.95019132172418e-15
266267.25,1e-06,9.999954995095884e-07,4.500490411625196e-12,7.094689339776105e-15
276129.0,1e-06,9.999953321392886e-07,4.6678607114559275e-12,1.0239106578471335e-14
285990.75,1e-06,9.999951647689886e-07,4.83523101128666e-12,7.792219084834249e-15
295852.5,1e-06,9.999949973986888e-07,5.002601311117392e-12,4.647801846139019e-15
305714.25,1e-06,9.99994830028389e-07,5.1699716109481245e-12,1.5033038280870942e-15
315576.0,1e-06,9.999946626580892e-07,5.337341910778856e-12,1.6411134106081358e-15
