time_day,T_K
0.0,2099.999999999999
0.041666666666666664,2099.986766805731
0.08333333333333333,2099.973533945013
0.125,2099.9603014178315
0.16666666666666666,2099.947069224171
0.20833333333333334,2099.9338373640176
0.25,2099.9206058373557
0.2916666666666667,2099.907374644171
0.3333333333333333,2099.8941437844483
0.375,2099.8809132581737
0.4166666666666667,2099.867683065332
0.4583333333333333,2099.854453205909
0.5,2099.8412236798895
0.5416666666666666,2099.827994487259
0.5833333333333334,2099.814765628002
0.625,2099.801537102105
0.6666666666666666,2099.788308909553
0.7083333333333334,2099.775081050331
0.75,2099.7618535244246
0.7916666666666666,2099.7486263318187
0.8333333333333334,2099.7353994724986
0.875,2099.72217294645
0.9166666666666666,2099.7089467536584
0.9583333333333334,2099.695720894108
1.0,2099.6824953677856
1.0416666666666667,2099.669270174675
1.0833333333333333,2099.656045314763
1.125,2099.642820788034
1.1666666666666667,2099.6295965944732
1.2083333333333333,2099.6163727340663
1.25,2099.603149206798
1.2916666666666667,2099.589926012655
1.3333333333333333,2099.5767031516216
1.375,2099.5634806236826
1.4166666666666667,2099.5502584288247
1.4583333333333333,2099.537036567032
1.5,2099.52381503829
1.5416666666666667,2099.510593842585
1.5833333333333333,2099.4973729799017
1.625,2099.484152450225
1.6666666666666667,2099.4709322535405
1.7083333333333333,2099.4577123898334
1.75,2099.4444928590897
1.7916666666666667,2099.431273661294
1.8333333333333333,2099.418054796432
1.875,2099.404836264489
1.9166666666666667,2099.39161806545
1.9583333333333333,2099.378400199301
2.0,2099.365182666026
2.0416666666666665,2099.351965465612
2.0833333333333335,2099.3387485980434
2.125,2099.3255320633057
2.1666666666666665,2099.312315861384
2.2083333333333335,2099.2990999922636
2.25,2099.2858844559305
2.2916666666666665,2099.2726692523697
2.3333333333333335,2099.2594543815662
2.375,2099.2462398435055
2.4166666666666665,2099.2330256381733
2.4583333333333335,2099.2198117655544
2.5,2099.2065982256345
2.5416666666666665,2099.193385018399
2.5833333333333335,2099.1801721438333
2.625,2099.166959601922
2.6666666666666665,2099.153747392651
2.7083333333333335,2099.140535516006
2.75,2099.1273239719717
2.7916666666666665,2099.1141127605338
2.8333333333333335,2099.1009018816776
2.875,2099.087691335388
2.9166666666666665,2099.0744811216514
2.9583333333333335,2099.0612712404522
3.0,2099.048061691776
3.0416666666666665,2099.034852475608
3.0833333333333335,2099.021643591934
3.125,2099.0084350407396
3.1666666666666665,2098.995226822009
3.2083333333333335,2098.982018935729
3.25,2098.9688113818834
3.2916666666666665,2098.9556041604587
3.3333333333333335,2098.94239727144
3.375,2098.929190714812
3.4166666666666665,2098.915984490561
3.4583333333333335,2098.902778598672
3.5,2098.8895730391305
3.5416666666666665,2098.876367811921
3.5833333333333335,2098.8631629170304
3.625,2098.849958354443
3.6666666666666665,2098.836754124144
3.7083333333333335,2098.82355022612
3.75,2098.8103466603548
3.7916666666666665,2098.7971434268347
3.8333333333333335,2098.783940525545
3.875,2098.770737956471
3.9166666666666665,2098.757535719598
3.9583333333333335,2098.744333814911
4.0,2098.731132242396
4.041666666666667,2098.7179310020383
4.083333333333333,2098.704730093823
4.125,2098.6915295177355
4.166666666666667,2098.6783292737614
4.208333333333333,2098.665129361886
4.25,2098.6519297820946
4.291666666666667,2098.6387305343724
4.333333333333333,2098.6255316187053
4.375,2098.612333035078
4.416666666666667,2098.5991347834765
4.458333333333333,2098.5859368638858
4.5,2098.5727392762915
4.541666666666667,2098.5595420206787
4.583333333333333,2098.5463450970333
4.625,2098.5331485053403
4.666666666666667,2098.519952245585
4.708333333333333,2098.506756317753
4.75,2098.49356072183
4.791666666666667,2098.4803654578004
4.833333333333333,2098.4671705256505
4.875,2098.4539759253657
4.916666666666667,2098.440781656931
4.958333333333333,2098.4275877203318
5.0,2098.4143941155535
5.041666666666667,2098.4012008425816
5.083333333333333,2098.3880079014016
5.125,2098.374815291999
5.166666666666667,2098.3616230143584
5.208333333333333,2098.348431068466
5.25,2098.335239454307
5.291666666666667,2098.322048171867
5.333333333333333,2098.3088572211313
5.375,2098.295666602085
5.416666666666667,2098.2824763147137
5.458333333333333,2098.2692863590028
5.5,2098.2560967349377
5.541666666666667,2098.242907442504
5.583333333333333,2098.2297184816866
5.625,2098.2165298524715
5.666666666666667,2098.203341554844
5.708333333333333,2098.190153588789
5.75,2098.1769659542924
5.791666666666667,2098.1637786513397
5.833333333333333,2098.150591679916
5.875,2098.137405040007
5.916666666666667,2098.1242187315975
5.958333333333333,2098.111032754673
6.0,2098.09784710922
6.041666666666667,2098.084661795223
6.083333333333333,2098.0714768126677
6.125,2098.058292161539
6.166666666666667,2098.045107841823
6.208333333333333,2098.031923853505
6.25,2098.01874019657
6.291666666666667,2098.005556871004
6.333333333333333,2097.992373876792
6.375,2097.97919121392
6.416666666666667,2097.966008882372
6.458333333333333,2097.952826882135
6.5,2097.939645213194
6.541666666666667,2097.926463875534
6.583333333333333,2097.913282869141
6.625,2097.900102194
6.666666666666667,2097.8869218500963
6.708333333333333,2097.8737418374158
6.75,2097.8605621559436
6.791666666666667,2097.8473828056653
6.833333333333333,2097.834203786567
6.875,2097.8210250986326
6.916666666666667,2097.8078467418486
6.958333333333333,2097.7946687162002
7.0,2097.781491021673
7.041666666666667,2097.7683136582523
7.083333333333333,2097.755136625923
7.125,2097.741959924672
7.166666666666667,2097.728783554483
7.208333333333333,2097.7156075153425
7.25,2097.702431807236
7.291666666666667,2097.6892564301484
7.333333333333333,2097.6760813840656
7.375,2097.6629066689725
7.416666666666667,2097.6497322848554
7.458333333333333,2097.636558231699
