T_M,s,Q_pr
300.0,1e-06,0.5031906465231454
300.0,1.465817938297957e-06,0.7867312385911609
300.0,2.148622228236069e-06,1.1058721536900897
300.0,3.149489004774151e-06,1.3945061586723
300.0,4.61657747967013e-06,1.513506683247696
300.0,6.767062083242849e-06,1.4498232135141293
300.0,9.919280991193291e-06,1.3178398389134371
300.0,1.4539860011909036e-05,1.1954128502651904
300.0,2.1312787625797413e-05,1.1048122067303976
300.0,3.1240666417028575e-05,1.0470669092596363
300.0,4.5793129238462956e-05,1.0144714626934002
300.0,6.712439028853553e-05,0.9982700135764011
300.0,9.839213538224856e-05,0.9912276815541083
300.0,0.0001442249570307409,0.9884304899165419
300.0,0.00021140752916591187,0.9869343066684939
300.0,0.00030988494854264186,0.9849237459627496
300.0,0.0004542349163823433,0.9816642881431561
300.0,0.0006658256886345107,0.977571020659529
300.0,0.000975979238180055,0.9736147661553882
300.0,0.0014306078747306974,0.9704463152774886
300.0,0.0020970106854505707,0.968226641607374
300.0,0.0030738358795359385,0.9668452383664027
300.0,0.004505683771607652,0.9661284628534279
300.0,0.006604512096720485,0.9670349714543972
300.0,0.009681012305078729,0.969402331163039
300.0,0.014190601497667654,0.9744163820661637
300.0,0.02080083823051906,0.9845643607107332
300.0,0.030490241809928712,0.9955486636028497
300.0,0.04469314338803587,0.9980813439013885
300.0,0.06551201129710572,0.998961453741944
300.0,0.09602868133327577,0.9995595574411048
300.0,0.14076056368941353,0.9998365472184368
300.0,0.2063293592608744,0.9999432949016324
300.0,0.3024412760021134,0.9999814609213357
300.0,0.4433238476456204,0.9999941513630778
300.0,0.6498320483542196,0.999998123483459
300.0,0.9525354733585204,0.9999995149650321
300.0,1.396243583714055,0.9999999292227153
300.0,2.046638891241483,1.0
300.0,3.0,1.0
500.0,1e-06,0.4672902193004309
500.0,1.465817938297957e-06,0.7493348244632351
500.0,2.148622228236069e-06,1.0069050166223399
500.0,3.149489004774151e-06,1.168850892999441
500.0,4.61657747967013e-06,1.1814594451164104
500.0,6.767062083242849e-06,1.083250212706228
500.0,9.919280991193291e-06,0.967582193911428
500.0,1.4539860011909036e-05,0.879068334735214
500.0,2.1312787625797413e-05,0.8231625966026059
500.0,3.1240666417028575e-05,0.7947338482797001
500.0,4.5793129238462956e-05,0.7871629262737433
500.0,6.712439028853553e-05,0.795035689903865
500.0,9.839213538224856e-05,0.8124012874319986
500.0,0.0001442249570307409,0.8341450385253323
500.0,0.00021140752916591187,0.8553074001126841
500.0,0.00030988494854264186,0.8717131838303058
500.0,0.0004542349163823433,0.8817161737320587
500.0,0.0006658256886345107,0.8865719528741366
500.0,0.000975979238180055,0.8891099043274623
500.0,0.0014306078747306974,0.891668620983932
500.0,0.0020970106854505707,0.8954130364383757
500.0,0.0030738358795359385,0.9007755592932137
500.0,0.004505683771607652,0.9122687530760625
500.0,0.006604512096720485,0.9511466099630641
500.0,0.009681012305078729,0.9740562941805403
500.0,0.014190601497667654,0.9836548228286233
500.0,0.02080083823051906,0.9929333845204447
500.0,0.030490241809928712,0.998471629818572
500.0,0.04469314338803587,0.9994565352478308
500.0,0.06551201129710572,0.9997303276138001
500.0,0.09602868133327577,0.9998920554506576
500.0,0.14076056368941353,0.999961544541447
500.0,0.2063293592608744,0.999987023256027
500.0,0.3024412760021134,0.9999958366057728
500.0,0.4433238476456204,0.9999987028712047
500.0,0.6498320483542196,0.9999995870533986
500.0,0.9525354733585204,0.9999998938267797
500.0,1.396243583714055,0.9999999845528866
500.0,2.046638891241483,1.0
500.0,3.0,1.0
700.0,1e-06,0.5330949929939056
700.0,1.465817938297957e-06,0.823134994758509
700.0,2.148622228236069e-06,1.0382523859515358
700.0,3.149489004774151e-06,1.1140243348341183
700.0,4.61657747967013e-06,1.0512953667762843
700.0,6.767062083242849e-06,0.928552643966547
700.0,9.919280991193291e-06,0.819692736745463
700.0,1.4539860011909036e-05,0.7421832050041132
700.0,2.1312787625797413e-05,0.6937560191290916
700.0,3.1240666417028575e-05,0.6688108496136945
700.0,4.5793129238462956e-05,0.6613647911138378
700.0,6.712439028853553e-05,0.6680850599170522
700.0,9.839213538224856e-05,0.6841403716846358
700.0,0.0001442249570307409,0.7053236004558656
700.0,0.00021140752916591187,0.7268929388096952
700.0,0.00030988494854264186,0.7445133567053333
700.0,0.0004542349163823433,0.7564395200469175
700.0,0.0006658256886345107,0.7637572959849079
700.0,0.000975979238180055,0.7692405274812318
700.0,0.0014306078747306974,0.7752873690203024
700.0,0.0020970106854505707,0.7833117859094605
700.0,0.0030738358795359385,0.7970909535363679
700.0,0.004505683771607652,0.8440141711217563
700.0,0.006604512096720485,0.9460499537380118
700.0,0.009681012305078729,0.9823534442704186
700.0,0.014190601497667654,0.9905595731328465
700.0,0.02080083823051906,0.9965060812849518
700.0,0.030490241809928712,0.9993251032315329
700.0,0.04469314338803587,0.9997782408085948
700.0,0.06551201129710572,0.9998938715804994
700.0,0.09602868133327577,0.9999585191739717
700.0,0.14076056368941353,0.9999854708555849
700.0,0.2063293592608744,0.9999951536039957
700.0,0.3024412760021134,0.9999984573974869
700.0,0.4433238476456204,0.9999995219309892
700.0,0.6498320483542196,0.9999998483080689
700.0,0.9525354733585204,0.9999999610861382
700.0,1.396243583714055,0.9999999943455907
700.0,2.046638891241483,1.0
700.0,3.0,1.0
900.0,1e-06,0.6609593729706812
900.0,1.465817938297957e-06,0.9360125252833078
900.0,2.148622228236069e-06,1.0873008990445692
900.0,3.149489004774151e-06,1.0807045130022412
900.0,4.61657747967013e-06,0.9701007864831782
900.0,6.767062083242849e-06,0.841944198167046
900.0,9.919280991193291e-06,0.7414110438025672
900.0,1.4539860011909036e-05,0.6710427363312308
900.0,2.1312787625797413e-05,0.6258938755487915
900.0,3.1240666417028575e-05,0.6008413041474447
900.0,4.5793129238462956e-05,0.5903403335541565
900.0,6.712439028853553e-05,0.5919670753080574
900.0,9.839213538224856e-05,0.6019770001009302
900.0,0.0001442249570307409,0.617001416596548
900.0,0.00021140752916591187,0.6331995474642684
900.0,0.00030988494854264186,0.6469485615981535
900.0,0.0004542349163823433,0.6567309363580031
900.0,0.0006658256886345107,0.663361006301396
900.0,0.000975979238180055,0.6690273510663798
900.0,0.0014306078747306974,0.6756798988821221
900.0,0.0020970106854505707,0.6855555164677568
900.0,0.0030738358795359385,0.7149692727767348
900.0,0.004505683771607652,0.8110816391642283
900.0,0.006604512096720485,0.9512691016179936
900.0,0.009681012305078729,0.9882772938431562
900.0,0.014190601497667654,0.9943050421497693
900.0,0.02080083823051906,0.9980645468745342
900.0,0.030490241809928712,0.9996475924433409
900.0,0.04469314338803587,0.999889008283764
900.0,0.06551201129710572,0.9999479174303005
900.0,0.09602868133327577,0.9999799054342975
900.0,0.14076056368941353,0.9999930265718109
900.0,0.2063293592608744,0.9999976886560793
900.0,0.3024412760021134,0.9999992675111192
900.0,0.4433238476456204,0.9999997736565798
900.0,0.6498320483542196,0.9999999283124609
900.0,0.9525354733585204,0.9999999816327922
900.0,1.396243583714055,0.9999999973330091
900.0,2.046638891241483,1.0
900.0,3.0,1.0
1000.0,1e-06,0.7288541147567086
