time,mass_initial,mass_remaining,mass_lost,error_percent
9861.75,1e-06,9.99999844202727e-07,1.5579727296604862e-13,4.793977140787748e-16
19723.5,1e-06,9.99999672699699e-07,3.273003009276981e-13,1.3952715359276113e-15
29585.25,1e-06,9.999994996189479e-07,5.003810519916321e-13,8.71730427770117e-15
39447.0,1e-06,9.999993263797626e-07,6.73620237320647e-13,1.996471898127407e-15
49308.75,1e-06,9.99999153124668e-07,8.468753319841107e-13,1.4639238916984613e-15
59170.5,1e-06,9.999989798679758e-07,1.0201320241935312e-12,3.250440144356934e-15
69032.25,1e-06,9.999988066111231e-07,1.1933888768214893e-12,1.4557853715114772e-15
78894.0,1e-06,9.999986333542544e-07,1.3666457455579709e-12,4.6722577963783186e-15
88755.75,1e-06,9.99998460097384e-07,1.539902615911999e-12,5.635167923017501e-15
98617.5,1e-06,9.999982868405134e-07,1.7131594864284546e-12,1.0166324378089472e-14
108479.25,1e-06,9.99998113583643e-07,1.88641635696122e-12,3.1610173964959768e-15
118341.0,1e-06,9.999979403267725e-07,2.0596732274956234e-12,4.008110120474231e-15
128202.75,1e-06,9.999977670699018e-07,2.2329300980301913e-12,9.982147444825712e-15
138064.5,1e-06,9.999975938130314e-07,2.4061869685647757e-12,2.7949253519559064e-15
147926.25,1e-06,9.99997420556161e-07,2.5794438390993617e-12,4.392458299627288e-15
157788.0,1e-06,9.999972472992902e-07,2.7527007096339482e-12,9.595941340468678e-15
167649.75,1e-06,9.999970740424198e-07,2.9259575801685343e-12,2.4085576888854834e-15
177511.5,1e-06,9.999969007855493e-07,3.0992144507031203e-12,4.778825962697711e-15
187373.25,1e-06,9.999967275286786e-07,3.2724713212377068e-12,9.209573677398255e-15
197235.0,1e-06,9.999965542718082e-07,3.445728191772293e-12,2.0221900258150604e-15
207096.75,1e-06,9.999963810149377e-07,3.618985062306879e-12,5.165193625768134e-15
216958.5,1e-06,9.99996207758067e-07,3.792241932841465e-12,8.823206014327832e-15
226820.25,1e-06,9.999960345011966e-07,3.965498803376051e-12,1.6358627524229847e-15
236682.0,1e-06,9.99995861244326e-07,4.1387556739106374e-12,5.551561288838557e-15
246543.75,1e-06,9.999956879874554e-07,4.312012544445223e-12,8.436919130614104e-15
256405.5,1e-06,9.99995514730585e-07,4.4852694149798095e-12,1.2494950893525617e-15
266267.25,1e-06,9.999953414737145e-07,4.658526285514396e-12,5.93792895190898e-15
276129.0,1e-06,9.999951682168438e-07,4.831783156048982e-12,8.05055146754368e-15
285990.75,1e-06,9.999949949599734e-07,5.005040026583568e-12,8.631274262821387e-16
295852.5,1e-06,9.99994821703103e-07,5.1782968971181545e-12,6.324296614979403e-15
305714.25,1e-06,9.999946484462322e-07,5.35155376765274e-12,7.664183804473258e-15
315576.0,1e-06,9.999944751893618e-07,5.524810638187327e-12,4.767597632117158e-16
