r_over_Rmars,t_to_Tglass_yr,t_to_Tliquidus_yr
1.000000,nan,nan
1.004682,nan,nan
1.009365,nan,nan
1.014047,nan,nan
1.018729,nan,nan
1.023411,nan,nan
1.028094,nan,nan
1.032776,nan,nan
1.037458,nan,nan
1.042140,nan,nan
1.046823,nan,nan
1.051505,nan,nan
1.056187,nan,nan
1.060870,nan,nan
1.065552,nan,nan
1.070234,nan,nan
1.074916,nan,nan
1.079599,nan,1.990418
1.084281,nan,1.975359
1.088963,nan,1.960986
1.093645,nan,1.947296
1.098328,nan,1.932923
1.103010,nan,1.919233
1.107692,nan,1.904860
1.112375,nan,1.891855
1.117057,nan,1.878166
1.121739,nan,1.864476
1.126421,nan,1.851472
1.131104,nan,1.838467
1.135786,nan,1.825462
1.140468,nan,1.812457
1.145151,nan,1.800137
1.149833,nan,1.787132
1.154515,nan,1.774812
1.159197,nan,1.762491
1.163880,nan,1.750171
1.168562,nan,1.738535
1.173244,nan,1.726215
1.177926,nan,1.714579
1.182609,nan,1.702943
1.187291,nan,1.691307
1.191973,nan,1.679671
1.196656,nan,1.668720
1.201338,nan,1.657084
1.206020,nan,1.646133
1.210702,nan,1.635181
1.215385,nan,1.624230
1.220067,nan,1.613279
1.224749,nan,1.602327
1.229431,nan,1.592060
1.234114,nan,1.581109
1.238796,nan,1.570842
1.243478,nan,1.560575
1.248161,nan,1.550308
1.252843,nan,1.540041
1.257525,nan,1.530459
1.262207,nan,1.520192
1.266890,nan,1.510609
1.271572,nan,1.501027
1.276254,nan,1.490760
1.280936,nan,1.481177
1.285619,nan,1.472279
1.290301,nan,1.462697
1.294983,nan,1.453114
1.299666,nan,1.444216
1.304348,nan,1.434634
1.309030,nan,1.425736
1.313712,nan,1.416838
1.318395,nan,1.407940
1.323077,nan,1.399042
1.327759,nan,1.390144
1.332441,nan,1.381246
1.337124,nan,1.373032
1.341806,nan,1.364134
1.346488,nan,1.355921
1.351171,nan,1.347707
1.355853,nan,1.339493
1.360535,nan,1.331280
1.365217,nan,1.323066
1.369900,nan,1.314853
1.374582,nan,1.306639
1.379264,nan,1.299110
1.383946,nan,1.290897
1.388629,nan,1.283368
1.393311,nan,1.275154
1.397993,nan,1.267625
1.402676,nan,1.260096
1.407358,nan,1.252567
1.412040,nan,1.245038
1.416722,nan,1.237509
1.421405,nan,1.229979
1.426087,nan,1.222450
1.430769,nan,1.215606
1.435452,nan,1.208077
1.440134,nan,1.201232
1.444816,nan,1.193703
1.449498,nan,1.186858
1.454181,nan,1.180014
1.458863,nan,1.173169
1.463545,nan,1.166324
1.468227,nan,1.159480
1.472910,nan,1.152635
1.477592,nan,1.145791
1.482274,nan,1.139630
1.486957,nan,1.132786
1.491639,nan,1.125941
1.496321,nan,1.119781
1.501003,nan,1.112936
1.505686,nan,1.106776
1.510368,nan,1.100616
1.515050,nan,1.094456
1.519732,nan,1.087611
1.524415,nan,1.081451
1.529097,nan,1.075291
1.533779,nan,1.069815
1.538462,nan,1.063655
1.543144,nan,1.057495
1.547826,nan,1.051335
1.552508,nan,1.045859
1.557191,nan,1.039699
1.561873,nan,1.033539
1.566555,nan,1.028063
1.571237,nan,1.022587
1.575920,nan,1.016427
1.580602,nan,1.010951
1.585284,nan,1.005476
1.589967,nan,1.000000
1.594649,nan,0.994524
1.599331,nan,0.988364
1.604013,nan,0.983573
1.608696,nan,0.978097
1.613378,nan,0.972621
1.618060,nan,0.967146
1.622742,nan,0.961670
1.627425,nan,0.956879
1.632107,nan,0.951403
1.636789,nan,0.945927
1.641472,nan,0.941136
1.646154,nan,0.935661
1.650836,nan,0.930869
1.655518,nan,0.926078
1.660201,nan,0.920602
1.664883,nan,0.915811
1.669565,nan,0.911020
1.674247,nan,0.906229
1.678930,nan,0.900753
1.683612,nan,0.895962
1.688294,nan,0.891170
1.692977,nan,0.886379
1.697659,nan,0.882272
1.702341,nan,0.877481
1.707023,nan,0.872690
1.711706,nan,0.867899
1.716388,nan,0.863107
1.721070,nan,0.859001
1.725753,nan,0.854209
1.730435,nan,0.849418
1.735117,nan,0.845311
1.739799,nan,0.840520
1.744482,nan,0.836413
1.749164,nan,0.831622
1.753846,nan,0.827515
1.758528,nan,0.823409
1.763211,nan,0.818617
1.767893,nan,0.814511
1.772575,nan,0.810404
1.777258,nan,0.806297
1.781940,nan,0.802190
1.786622,nan,0.798084
1.791304,nan,0.793977
1.795987,nan,0.789870
1.800669,nan,0.785763
1.805351,nan,0.781656
1.810033,nan,0.777550
1.814716,nan,0.773443
1.819398,nan,0.769336
1.824080,nan,0.765229
1.828763,nan,0.761807
1.833445,nan,0.757700
1.838127,nan,0.753593
1.842809,nan,0.750171
1.847492,nan,0.746064
1.852174,nan,0.741958
1.856856,nan,0.738535
1.861538,nan,0.734428
1.866221,nan,0.731006
1.870903,nan,0.727584
1.875585,nan,0.723477
1.880268,nan,0.720055
1.884950,nan,0.715948
1.889632,nan,0.712526
1.894314,nan,0.709103
1.898997,nan,0.705681
1.903679,nan,0.702259
1.908361,nan,0.698152
1.913043,nan,0.694730
1.917726,nan,0.691307
1.922408,nan,0.687885
1.927090,nan,0.684463
1.931773,nan,0.681040
1.936455,nan,0.677618
1.941137,nan,0.674196
1.945819,nan,0.670773
1.950502,nan,0.667351
1.955184,1.993840,0.663929
1.959866,1.985626,0.661191
1.964548,1.977413,0.657769
1.969231,1.969884,0.654346
1.973913,1.961670,0.650924
1.978595,1.954141,0.648186
