time_day,T_K
0.0,1999.999999999999
0.041666666666666664,1999.9891129996424
0.08333333333333333,1999.9782262363356
0.125,1999.9673397100692
0.16666666666666666,1999.9564534208346
0.20833333333333334,1999.9455673686225
0.25,1999.9346815534238
0.2916666666666667,1999.92379597523
0.3333333333333333,1999.9129106340313
0.375,1999.9020255298194
0.4166666666666667,1999.8911406625848
0.4583333333333333,1999.8802560323186
0.5,1999.8693716390117
0.5416666666666666,1999.8584874826552
0.5833333333333334,1999.84760356324
0.625,1999.8367198807573
0.6666666666666666,1999.8258364351977
0.7083333333333334,1999.8149532265522
0.75,1999.8040702548124
0.7916666666666666,1999.7931875199686
0.8333333333333334,1999.7823050220118
0.875,1999.771422760933
0.9166666666666666,1999.7605407367237
0.9583333333333334,1999.7496589493744
1.0,1999.7387773988762
1.0416666666666667,1999.72789608522
1.0833333333333333,1999.7170150083969
1.125,1999.7061341683977
1.1666666666666667,1999.6952535652135
1.2083333333333333,1999.6843731988354
1.25,1999.6734930692542
1.2916666666666667,1999.662613176461
1.3333333333333333,1999.6517335204467
1.375,1999.6408541012022
1.4166666666666667,1999.6299749187187
1.4583333333333333,1999.619095972987
1.5,1999.6082172639983
1.5416666666666667,1999.5973387917434
1.5833333333333333,1999.5864605562133
1.625,1999.575582557399
1.6666666666666667,1999.5647047952914
1.7083333333333333,1999.5538272698816
1.75,1999.5429499811607
1.7916666666666667,1999.5320729291195
1.8333333333333333,1999.521196113749
1.875,1999.5103195350403
1.9166666666666667,1999.4994431929842
1.9583333333333333,1999.4885670875722
2.0,1999.4776912187945
2.0416666666666665,1999.4668155866425
2.0833333333333335,1999.4559401911074
2.125,1999.4450650321799
2.1666666666666665,1999.434190109851
2.2083333333333335,1999.423315424112
2.25,1999.4124409749534
2.2916666666666665,1999.4015667623664
2.3333333333333335,1999.3906927863422
2.375,1999.3798190468715
2.4166666666666665,1999.3689455439455
2.4583333333333335,1999.358072277555
2.5,1999.3471992476914
2.5416666666666665,1999.3363264543452
2.5833333333333335,1999.3254538975077
2.625,1999.3145815771697
2.6666666666666665,1999.3037094933222
2.7083333333333335,1999.2928376459565
2.75,1999.2819660350635
2.7916666666666665,1999.271094660634
2.8333333333333335,1999.2602235226589
2.875,1999.2493526211297
2.9166666666666665,1999.2384819560368
2.9583333333333335,1999.2276115273717
3.0,1999.216741335125
3.0416666666666665,1999.2058713792883
3.0833333333333335,1999.1950016598519
3.125,1999.1841321768072
3.1666666666666665,1999.173262930145
3.2083333333333335,1999.1623939198566
3.25,1999.1515251459327
3.2916666666666665,1999.1406566083645
3.3333333333333335,1999.129788307143
3.375,1999.1189202422588
3.4166666666666665,1999.1080524137035
3.4583333333333335,1999.0971848214679
3.5,1999.0863174655428
3.5416666666666665,1999.0754503459195
3.5833333333333335,1999.0645834625889
3.625,1999.0537168155417
3.6666666666666665,1999.0428504047698
3.7083333333333335,1999.031984230263
3.75,1999.0211182920132
3.7916666666666665,1999.010252590011
3.8333333333333335,1998.9993871242475
3.875,1998.9885218947138
3.9166666666666665,1998.977656901401
3.9583333333333335,1998.9667921442997
4.0,1998.9559276234015
4.041666666666667,1998.9450633386969
4.083333333333333,1998.934199290177
4.125,1998.9233354778332
4.166666666666667,1998.912471901656
4.208333333333333,1998.9016085616367
4.25,1998.8907454577666
4.291666666666667,1998.879882590036
4.333333333333333,1998.8690199584364
4.375,1998.8581575629587
4.416666666666667,1998.847295403594
4.458333333333333,1998.8364334803334
4.5,1998.8255717931677
4.541666666666667,1998.814710342088
4.583333333333333,1998.8038491270852
4.625,1998.7929881481505
4.666666666666667,1998.7821274052749
4.708333333333333,1998.7712668984493
4.75,1998.760406627665
4.791666666666667,1998.7495465929126
4.833333333333333,1998.7386867941834
4.875,1998.7278272314684
4.916666666666667,1998.7169679047586
4.958333333333333,1998.7061088140451
5.0,1998.6952499593187
5.041666666666667,1998.6843913405708
5.083333333333333,1998.6735329577918
5.125,1998.6626748109736
5.166666666666667,1998.6518169001067
5.208333333333333,1998.6409592251819
5.25,1998.6301017861906
5.291666666666667,1998.6192445831239
5.333333333333333,1998.6083876159726
5.375,1998.5975308847276
5.416666666666667,1998.5866743893803
5.458333333333333,1998.5758181299213
5.5,1998.5649621063421
5.541666666666667,1998.5541063186336
5.583333333333333,1998.5432507667867
5.625,1998.5323954507924
5.666666666666667,1998.5215403706418
5.708333333333333,1998.510685526326
5.75,1998.4998309178359
5.791666666666667,1998.4889765451628
5.833333333333333,1998.4781224082974
5.875,1998.467268507231
5.916666666666667,1998.4564148419543
5.958333333333333,1998.4455614124588
6.0,1998.434708218735
6.041666666666667,1998.4238552607744
6.083333333333333,1998.413002538568
6.125,1998.4021500521067
6.166666666666667,1998.3912978013814
6.208333333333333,1998.3804457863832
6.25,1998.3695940071034
6.291666666666667,1998.3587424635327
6.333333333333333,1998.3478911556624
6.375,1998.3370400834835
6.416666666666667,1998.3261892469868
6.458333333333333,1998.3153386461638
6.5,1998.304488281005
6.541666666666667,1998.293638151502
6.583333333333333,1998.2827882576455
6.625,1998.2719385994264
6.666666666666667,1998.261089176836
6.708333333333333,1998.2502399898653
6.75,1998.2393910385056
6.791666666666667,1998.2285423227472
6.833333333333333,1998.2176938425819
6.875,1998.2068455980004
6.916666666666667,1998.195997588994
6.958333333333333,1998.1851498155534
7.0,1998.1743022776698
7.041666666666667,1998.1634549753344
7.083333333333333,1998.152607908538
7.125,1998.141761077272
7.166666666666667,1998.1309144815268
7.208333333333333,1998.120068121294
7.25,1998.1092219965647
7.291666666666667,1998.0983761073296
