time,mass_initial,mass_remaining,mass_lost,error_percent
9861.75,1e-06,9.999998543254966e-07,1.45674503276738e-13,6.717989955960071e-15
19723.5,1e-06,9.999996944951383e-07,3.055048616610085e-13,1.3060002493604565e-15
29585.25,1e-06,9.999995332921667e-07,4.667078332969278e-13,5.381318794604621e-15
39447.0,1e-06,9.999993719561284e-07,6.280438715092713e-13,8.744072537025854e-15
49308.75,1e-06,9.999992106071905e-07,7.893928094607893e-13,4.5726164598954905e-15
59170.5,1e-06,9.99999049257002e-07,9.50742997936267e-13,5.870599358104005e-15
69032.25,1e-06,9.999988879066923e-07,1.1120933076397673e-12,3.776111808047249e-15
78894.0,1e-06,9.999987265563708e-07,1.273443629095328e-12,2.887094597944481e-15
88755.75,1e-06,9.999985652060483e-07,1.4347939516901544e-12,6.049384269308398e-15
98617.5,1e-06,9.999984038557256e-07,1.5961442743954234e-12,4.854294076689671e-15
108479.25,1e-06,9.999982425054029e-07,1.757494597111399e-12,4.729853477701591e-15
118341.0,1e-06,9.999980811550802e-07,1.9188449198284122e-12,4.709194157226939e-15
128202.75,1e-06,9.999979198047575e-07,2.080195242545526e-12,4.698571671821595e-15
138064.5,1e-06,9.999977584544347e-07,2.2415455652626497e-12,4.688958928374934e-15
147926.25,1e-06,9.99997597104112e-07,2.4028958879797743e-12,4.679426964284967e-15
157788.0,1e-06,9.999974357537893e-07,2.564246210696899e-12,4.669895000195001e-15
167649.75,1e-06,9.999972744034666e-07,2.7255965334140235e-12,4.660363036105034e-15
177511.5,1e-06,9.999971130531439e-07,2.886946856131148e-12,4.6508310720150676e-15
187373.25,1e-06,9.999969517028212e-07,3.0482971788482726e-12,4.641299107925101e-15
197235.0,1e-06,9.999967903524984e-07,3.2096475015653972e-12,4.6317671438351345e-15
207096.75,1e-06,9.999966290021757e-07,3.370997824282522e-12,4.622235179745168e-15
216958.5,1e-06,9.99996467651853e-07,3.5323481469996464e-12,4.6127032156552014e-15
226820.25,1e-06,9.999963063015303e-07,3.693698469716771e-12,4.6031308618868876e-15
236682.0,1e-06,9.999961449512076e-07,3.855048792433895e-12,4.593598897796921e-15
246543.75,1e-06,9.999959836008848e-07,4.0163991151510206e-12,4.584147713063649e-15
256405.5,1e-06,9.999958222505621e-07,4.177749437868145e-12,4.574615748973683e-15
266267.25,1e-06,9.999956609002394e-07,4.3390997605852706e-12,4.565164564240411e-15
276129.0,1e-06,9.999954995499167e-07,4.500450083302395e-12,4.555632600150444e-15
285990.75,1e-06,9.99995338199594e-07,4.6618004060195206e-12,4.546181415417172e-15
295852.5,1e-06,9.999951768492713e-07,4.823150728736645e-12,4.536649451327206e-15
305714.25,1e-06,9.999950154989485e-07,4.9845010514537705e-12,4.527198266593934e-15
315576.0,1e-06,9.999948541486258e-07,5.145851374170895e-12,4.517666302503967e-15
