time,mass_initial,mass_remaining,mass_lost,error_percent
9861.75,1e-06,9.999998338127227e-07,1.6618727723766186e-13,1.979942422263768e-15
19723.5,1e-06,9.999996497930603e-07,3.502069396797202e-13,2.511935070615438e-16
29585.25,1e-06,9.999994638638455e-07,5.361361543882249e-13,5.5569836031566845e-15
39447.0,1e-06,9.999992777301945e-07,7.222698055414355e-13,5.879495184760001e-15
49308.75,1e-06,9.999990915746567e-07,9.084253431222981e-13,9.527056744047331e-15
59170.5,1e-06,9.999989054167761e-07,1.0945832238005992e-12,4.5029644595855444e-15
69032.25,1e-06,9.999987192586445e-07,1.2807413553240459e-12,8.31538658846703e-15
78894.0,1e-06,9.999985331004863e-07,1.4668995137022378e-12,5.19294133479274e-15
88755.75,1e-06,9.99998346942325e-07,1.65305767495542e-12,9.738759243104787e-15
98617.5,1e-06,9.999981607841635e-07,1.8392158365163905e-12,2.711763004238783e-15
108479.25,1e-06,9.999979746260018e-07,2.0253739981103113e-12,1.02020288537485e-15
118341.0,1e-06,9.999977884678402e-07,2.21153215970776e-12,4.399364934624679e-15
128202.75,1e-06,9.999976023096786e-07,2.3976903213055863e-12,7.740803024298116e-15
138064.5,1e-06,9.999974161515172e-07,2.583848482903453e-12,1.0097661924899035e-14
147926.25,1e-06,9.999972299933555e-07,2.7700066445013245e-12,6.760747479200498e-15
157788.0,1e-06,9.999970438351939e-07,2.9561648060991958e-12,3.4238330335019607e-15
167649.75,1e-06,9.999968576770323e-07,3.1423229676970675e-12,8.695897748177093e-17
177511.5,1e-06,9.999966715188706e-07,3.3284811292949393e-12,3.249915078538419e-15
187373.25,1e-06,9.99996485360709e-07,3.514639290892811e-12,6.586789134558609e-15
197235.0,1e-06,9.999962992025474e-07,3.700797452490683e-12,9.923663190578799e-15
207096.75,1e-06,9.99996113044386e-07,3.886955614088554e-12,7.915246045080173e-15
216958.5,1e-06,9.999959268862243e-07,4.073113775686426e-12,4.57841237873833e-15
226820.25,1e-06,9.999957407280627e-07,4.2592719372842975e-12,1.2414979330397932e-15
236682.0,1e-06,9.99995554569901e-07,4.445430098882169e-12,2.095416512658744e-15
246543.75,1e-06,9.999953684117394e-07,4.631588260480041e-12,5.4322501790005864e-15
256405.5,1e-06,9.999951822535778e-07,4.817746422077912e-12,8.769164624699124e-15
266267.25,1e-06,9.999949960954164e-07,5.003904583675784e-12,9.069744610959848e-15
276129.0,1e-06,9.999948099372547e-07,5.190062745273656e-12,5.732910944618005e-15
285990.75,1e-06,9.999946237790931e-07,5.376220906871527e-12,2.395996498919468e-15
295852.5,1e-06,9.999944376209315e-07,5.5623790684693984e-12,9.40917946779069e-16
305714.25,1e-06,9.999942514627698e-07,5.7485372300672705e-12,4.2777516131209115e-15
315576.0,1e-06,9.999940653046082e-07,5.934695391665142e-12,7.614666058819449e-15
