time,mass_initial,mass_remaining,mass_lost,error_percent
9861.75,1e-06,9.999998543254966e-07,1.45674503276738e-13,6.717989955960071e-15
19723.5,1e-06,9.999996941793399e-07,3.058206600052685e-13,8.937185686623957e-15
29585.25,1e-06,9.999995325955346e-07,4.674044653076997e-13,1.848888013446315e-15
39447.0,1e-06,9.9999937086891e-07,6.291310900479659e-13,5.556811947023708e-16
49308.75,1e-06,9.999992091280972e-07,7.908719028117745e-13,1.729294175859913e-15
59170.5,1e-06,9.99999047385875e-07,9.526141250476767e-13,4.941192469653921e-15
69032.25,1e-06,9.999988856435126e-07,1.1143564873038977e-12,8.210292645407315e-15
78894.0,1e-06,9.999987239011364e-07,1.2760988634700712e-12,6.795078705795716e-15
88755.75,1e-06,9.99998562158759e-07,1.4378412410180924e-12,5.749975583719746e-15
98617.5,1e-06,9.999984004163811e-07,1.5995836187033897e-12,1.032901400247246e-14
108479.25,1e-06,9.999982386740035e-07,1.7613259964023246e-12,3.8684224179100395e-15
118341.0,1e-06,9.999980769316259e-07,1.923068374102614e-12,2.7276361478292782e-15
128202.75,1e-06,9.999979151892482e-07,2.0848107518030384e-12,9.337164671297426e-15
138064.5,1e-06,9.999977534468704e-07,2.2465531295034755e-12,5.227838016884821e-15
147926.25,1e-06,9.999975917044928e-07,2.4082955072039143e-12,1.3831445350038297e-15
157788.0,1e-06,9.999974299621151e-07,2.570037884904353e-12,7.99412708689248e-15
167649.75,1e-06,9.999972682197373e-07,2.7317802626047923e-12,6.57067365289803e-15
177511.5,1e-06,9.999971064773596e-07,2.893522640305231e-12,4.030889899062117e-17
187373.25,1e-06,9.99996944734982e-07,3.0552650180056702e-12,6.651331840557619e-15
197235.0,1e-06,9.999967829926042e-07,3.2170073957061094e-12,7.913468899232891e-15
207096.75,1e-06,9.999966212502265e-07,3.3787497734065482e-12,1.30248634734424e-15
216958.5,1e-06,9.99996459507849e-07,3.5404921511069874e-12,5.308536594222758e-15
226820.25,1e-06,9.99996297765471e-07,3.7022345288074266e-12,9.256264145567752e-15
236682.0,1e-06,9.999961360230934e-07,3.863976906507865e-12,2.6452815936791013e-15
246543.75,1e-06,9.999959742807158e-07,4.025719284208304e-12,3.9657009582095496e-15
256405.5,1e-06,9.999958125383382e-07,4.187461661908743e-12,1.05766835100982e-14
266267.25,1e-06,9.999956507959603e-07,4.349204039609182e-12,3.988157619370657e-15
276129.0,1e-06,9.999954890535827e-07,4.51094641730962e-12,2.622744153161299e-15
285990.75,1e-06,9.99995327311205e-07,4.6726887950100585e-12,9.23372670504995e-15
295852.5,1e-06,9.999951655688272e-07,4.834431172710497e-12,5.331114424418908e-15
305714.25,1e-06,9.999950038264496e-07,4.996173550410936e-12,1.2798681274697432e-15
315576.0,1e-06,9.99994842084072e-07,5.157915928111375e-12,7.890850679358394e-15
