time,mass_initial,mass_remaining,mass_lost,mass_diff,error_percent,tolerance_percent,mass_loss_rp_mars,mass_loss_hydro_drag,mass_loss_surface_solid_marsRP,mass_loss_tau_clip_spill
9.986582278481013,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.3993855406979959,0.5,0.0,0.0,0.0,0.0
19.973164556962026,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.3994819010591186,0.5,0.0,0.0,0.0,0.0
29.95974683544304,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.39957521658578854,0.5,0.0,0.0,0.0,0.0
39.94632911392405,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.39966548359260434,0.5,0.0,0.0,0.0,0.0
49.93291139240506,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.3997526993161025,0.5,0.0,0.0,0.0,0.0
59.91949367088607,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.3998368611684647,0.5,0.0,0.0,0.0,0.0
69.9060759493671,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.3999179667374083,0.5,0.0,0.0,0.0,0.0
79.8926582278481,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.39999601378650523,0.5,0.0,0.0,0.0,0.0
89.87924050632911,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.40007100025483566,0.5,0.0,0.0,0.0,0.0
99.86582278481012,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.4001429242570876,0.5,0.0,0.0,0.0,0.0
109.85240506329113,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.4002117840833857,0.5,0.0,0.0,0.0,0.0
119.83898734177215,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.40027757819939985,0.5,0.0,0.0,0.0,0.0
129.82556962025316,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.4003403052460151,0.5,0.0,0.0,0.0,0.0
139.8121518987342,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.4006392346285721,0.5,0.0,0.0,0.0,0.0
149.7987341772152,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.4023225438961858,0.5,0.0,0.0,0.0,0.0
159.7853164556962,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.404016782203105,0.5,0.0,0.0,0.0,0.0
169.77189873417723,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.4057220376499061,0.5,0.0,0.0,0.0,0.0
179.75848101265825,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.40743839910227614,0.5,0.0,0.0,0.0,0.0
189.74506329113925,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.40916595619646434,0.5,0.0,0.0,0.0,0.0
199.73164556962027,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.4109047993447643,0.5,0.0,0.0,0.0,0.0
209.71822784810126,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.4126550197411069,0.5,0.0,0.0,0.0,0.0
219.7048101265823,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.4144167093664157,0.5,0.0,0.0,0.0,0.0
229.6913924050633,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.4161899609942556,0.5,0.0,0.0,0.0,0.0
239.6779746835443,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.4179748681959911,0.5,0.0,0.0,0.0,0.0
249.66455696202533,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.41977152534646395,0.5,0.0,0.0,0.0,0.0
259.6511392405063,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.42158002762920677,0.5,0.0,0.0,0.0,0.0
269.63772151898735,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.42340047104183975,0.5,0.0,0.0,0.0,0.0
279.6243037974684,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.4252329524013539,0.5,0.0,0.0,0.0,0.0
289.6108860759494,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.4270775693493812,0.5,0.0,0.0,0.0,0.0
299.5974683544304,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.4289344203575492,0.5,0.0,0.0,0.0,0.0
309.5840506329114,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.43080360473238344,0.5,0.0,0.0,0.0,0.0
319.5706329113924,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.43268522262073295,0.5,0.0,0.0,0.0,0.0
329.55721518987343,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.4345793750146167,0.5,0.0,0.0,0.0,0.0
339.54379746835446,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.4364861637565504,0.5,0.0,0.0,0.0,0.0
349.5303797468355,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.4384056915441115,0.5,0.0,0.0,0.0,0.0
359.51696202531645,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.4403380619351516,0.5,0.0,0.0,0.0,0.0
369.50354430379747,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.44228337935254636,0.5,0.0,0.0,0.0,0.0
379.4901265822785,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.444241749088886,0.5,0.0,0.0,0.0,0.0
389.4767088607595,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.44621327731129573,0.5,0.0,0.0,0.0,0.0
399.46329113924054,1.084702769956984e-06,1.084702769956984e-06,0.0,0.0,0.44819807106581633,0.5,0.0,0.0,0.0,0.0
