time,mass_initial,mass_remaining,mass_lost,error_percent
9861.75,1e-06,9.99999899587416e-07,1.0041258406009296e-13,8.972488789854408e-15
19723.5,1e-06,9.999997915795058e-07,2.08420494095512e-13,7.204508875202457e-15
29585.25,1e-06,9.999996829970764e-07,3.1700292349756953e-13,2.1893124173966664e-15
39447.0,1e-06,9.999995743711896e-07,4.2562881021833123e-13,1.0191234712210179e-14
49308.75,1e-06,9.99999465742016e-07,5.342579841016468e-13,6.927051979795571e-15
59170.5,1e-06,9.999993571125934e-07,6.428874066297931e-13,6.935584299346441e-15
69032.25,1e-06,9.99999248483152e-07,7.515168479657261e-13,3.074472413217266e-15
78894.0,1e-06,9.999991398537092e-07,8.601462907243021e-13,6.753103732573268e-15
88755.75,1e-06,9.999990312242663e-07,9.687757335904886e-13,5.819627584029692e-15
98617.5,1e-06,9.999989225948234e-07,1.0774051764648147e-12,4.072188345172248e-15
108479.25,1e-06,9.999988139653806e-07,1.1860346193397565e-12,2.26317504167432e-15
118341.0,1e-06,9.999987053359377e-07,1.2946640622147448e-12,4.495169251664512e-16
128202.75,1e-06,9.999985967064949e-07,1.403293505089737e-12,1.3645248932857171e-15
138064.5,1e-06,9.99998488077052e-07,1.5119229479647291e-12,3.1785667117378855e-15
147926.25,1e-06,9.999983794476092e-07,1.6205523908397215e-12,4.9926287250292276e-15
157788.0,1e-06,9.999982708181663e-07,1.7291818337147136e-12,6.806670543481396e-15
167649.75,1e-06,9.999981621887235e-07,1.837811276589706e-12,8.620732556772738e-15
177511.5,1e-06,9.999980535592806e-07,1.9464407194646983e-12,1.043479457006408e-14
187373.25,1e-06,9.999979449298375e-07,2.0550701623396903e-12,8.927007487680434e-15
197235.0,1e-06,9.999978363003947e-07,2.163699605214683e-12,7.112905084710744e-15
207096.75,1e-06,9.999977276709518e-07,2.2723290480896754e-12,5.298843071419402e-15
216958.5,1e-06,9.99997619041509e-07,2.3809584909646677e-12,3.4847810581280603e-15
226820.25,1e-06,9.99997510412066e-07,2.48958793383966e-12,1.6707190448367183e-15
236682.0,1e-06,9.999974017826232e-07,2.598217376714653e-12,1.433833581329711e-16
246543.75,1e-06,9.999972931531804e-07,2.706846819589645e-12,1.957445371424313e-15
256405.5,1e-06,9.999971845237375e-07,2.8154762624646375e-12,3.771507384715655e-15
266267.25,1e-06,9.999970758942947e-07,2.92410570533963e-12,5.585569398006997e-15
276129.0,1e-06,9.999969672648518e-07,3.0327351482146226e-12,7.399671800976687e-15
285990.75,1e-06,9.99996858635409e-07,3.141364591089615e-12,9.213733814268029e-15
295852.5,1e-06,9.999967500059659e-07,3.2499940339646073e-12,1.0148027853798138e-14
305714.25,1e-06,9.99996641376523e-07,3.3586234768395997e-12,8.333965840506796e-15
315576.0,1e-06,9.999965327470802e-07,3.4672529197145924e-12,6.5198634375371064e-15
