time,mass_initial,mass_remaining,mass_lost,error_percent
9861.75,1e-06,9.999999892844504e-07,1.0715549535090327e-14,6.344282879329721e-16
19723.5,1e-06,9.999999784226246e-07,2.1577375244496817e-14,7.561611691955353e-15
29585.25,1e-06,9.999999675588037e-07,3.2441196347297286e-14,6.23987713852372e-15
39447.0,1e-06,9.999999566949554e-07,4.330504466954587e-14,1.0304922821515734e-14
49308.75,1e-06,9.999999458311067e-07,5.416889336309882e-14,9.148756919226784e-15
59170.5,1e-06,9.99999934967258e-07,6.503274206171678e-14,8.499092729542555e-15
69032.25,1e-06,9.999999241034093e-07,7.589659076040385e-14,7.856338961388061e-15
78894.0,1e-06,9.999999132395606e-07,8.676043945909183e-14,7.213677332187297e-15
88755.75,1e-06,9.999999023757119e-07,9.762428815777984e-14,6.57101822734143e-15
98617.5,1e-06,9.999998915118632e-07,1.0848813685646786e-13,5.928359122495563e-15
108479.25,1e-06,9.999998806480145e-07,1.1935198555515586e-13,5.285698755472248e-15
118341.0,1e-06,9.999998697841657e-07,1.3021583425384388e-13,4.643040912803829e-15
128202.75,1e-06,9.99999858920317e-07,1.4107968295253188e-13,4.000380545780514e-15
138064.5,1e-06,9.999998480564683e-07,1.519435316512199e-13,3.357722703112095e-15
147926.25,1e-06,9.999998371926196e-07,1.628073803499079e-13,2.7150623360887795e-15
157788.0,1e-06,9.99999826328771e-07,1.736712290485959e-13,2.072401969065464e-15
167649.75,1e-06,9.999998154649222e-07,1.8453507774728393e-13,1.4297441263970453e-15
177511.5,1e-06,9.999998046010735e-07,1.9539892644597193e-13,7.870837593737299e-16
187373.25,1e-06,9.999997937372248e-07,2.0626277514465993e-13,1.444233923504145e-16
197235.0,1e-06,9.999997828733761e-07,2.1712662384334793e-13,4.982369746729009e-16
207096.75,1e-06,9.999997720095274e-07,2.2799047254203593e-13,1.1408973416962164e-15
216958.5,1e-06,9.999997611456787e-07,2.3885432124072393e-13,1.7835577087195318e-15
226820.25,1e-06,9.9999975028183e-07,2.4971816993941193e-13,2.4262180757428472e-15
236682.0,1e-06,9.999997394179813e-07,2.605820186381e-13,3.0688733940563692e-15
246543.75,1e-06,9.999997285541326e-07,2.71445867336788e-13,3.711533761079685e-15
256405.5,1e-06,9.999997176902839e-07,2.8230971603547603e-13,4.354189079393207e-15
266267.25,1e-06,9.999997068264352e-07,2.9317356473416403e-13,4.996849446416522e-15
276129.0,1e-06,9.999996959625865e-07,3.040374134328521e-13,5.639504764730044e-15
285990.75,1e-06,9.999996850987378e-07,3.1490126213154013e-13,6.282160083043566e-15
295852.5,1e-06,9.99999674234889e-07,3.2576511083022813e-13,6.9248204500668815e-15
305714.25,1e-06,9.999996633710404e-07,3.366289595289162e-13,7.567475768380404e-15
315576.0,1e-06,9.999996525071916e-07,3.4749280822760423e-13,8.210131086693926e-15
