time,mass_initial,mass_remaining,mass_lost,error_percent
9861.75,1e-06,9.999999664970587e-07,3.35029413667762e-14,8.216449547000384e-15
19723.5,1e-06,9.999999318939368e-07,6.810606317190765e-14,6.817399051792402e-17
29585.25,1e-06,9.999998972547137e-07,1.0274528633767392e-13,1.0034710824662398e-14
39447.0,1e-06,9.999998626143059e-07,1.3738569410602047e-13,1.5257781597324788e-15
49308.75,1e-06,9.999998279738593e-07,1.7202614074498382e-13,4.90279198296521e-15
59170.5,1e-06,9.999997933334114e-07,2.0666658865941696e-13,8.77184296524453e-15
69032.25,1e-06,9.999997586929633e-07,2.413070366157024e-13,4.349700776386861e-15
78894.0,1e-06,9.999997240525154e-07,2.759474845733611e-13,3.841906594075027e-15
88755.75,1e-06,9.999996894120673e-07,3.105879325310649e-13,9.137801218975075e-15
98617.5,1e-06,9.999996547716195e-07,3.452283804887701e-13,9.415439867934524e-16
108479.25,1e-06,9.999996201311716e-07,3.798688284464754e-13,7.254723342807757e-15
118341.0,1e-06,9.999995854907235e-07,4.145092764041807e-13,5.724833008948542e-15
128202.75,1e-06,9.999995508502756e-07,4.49149724361886e-13,2.4714343206526672e-15
138064.5,1e-06,9.999995162098275e-07,4.837901723195913e-13,1.0508122031103632e-14
147926.25,1e-06,9.999994815693797e-07,5.184306202772966e-13,2.3118547015024225e-15
157788.0,1e-06,9.999994469289318e-07,5.530710682350019e-13,5.884412628098787e-15
167649.75,1e-06,9.999994122884837e-07,5.877115161927072e-13,7.095143723657512e-15
177511.5,1e-06,9.999993776480358e-07,6.223519641504125e-13,1.1011236059436971e-15
187373.25,1e-06,9.99999343007588e-07,6.569924121081178e-13,9.297390935544906e-15
197235.0,1e-06,9.999993083671399e-07,6.916328600658231e-13,3.682165416211393e-15
207096.75,1e-06,9.99999273726692e-07,7.262733080235283e-13,4.51409181597023e-15
216958.5,1e-06,9.999992390862439e-07,7.609137559812336e-13,8.465464535786069e-15
226820.25,1e-06,9.99999204445796e-07,7.955542039389389e-13,2.6919720618485984e-16
236682.0,1e-06,9.999991698053481e-07,8.301946518966442e-13,7.92707012341635e-15
246543.75,1e-06,9.999991351649e-07,8.648350998543495e-13,5.0524862283399496e-15
256405.5,1e-06,9.999991005244522e-07,8.994755478120549e-13,3.1437811012612598e-15
266267.25,1e-06,9.99999065884004e-07,9.341159957697602e-13,9.83577525049504e-15
276129.0,1e-06,9.999990312435562e-07,9.687564437274654e-13,1.6395180183134168e-15
285990.75,1e-06,9.999989966031083e-07,1.0033968916851708e-12,6.5567594087073794e-15
295852.5,1e-06,9.999989619626602e-07,1.0380373396428762e-12,6.422786845629333e-15
305714.25,1e-06,9.999989273222124e-07,1.0726777876005816e-12,1.7734905813914633e-15
315576.0,1e-06,9.999988926817645e-07,1.1073182355582868e-12,9.969747813573086e-15
